id,influencer_id,title,platform,url,thumbnail,published,year_start,year_end,era,places,tags,verified,notes
v114,ancient-sites-girl,Egypt's MOST Colorful Temple: The Beautiful Columns of Esna,youtube,https://www.youtube.com/watch?v=iwICP7bsUh8,https://i.ytimg.com/vi/iwICP7bsUh8/hqdefault.jpg,2026-05-28,-180,250,Ptolemaic to Roman Egypt,esna,egypt;temple;painting;roman,yes,
v115,toldinstone,Numantia: Ancient Rome's Vietnam,youtube,https://www.youtube.com/watch?v=1AO8cx3AAg0,https://i.ytimg.com/vi/1AO8cx3AAg0/hqdefault.jpg,2026-06-12,-143,-133,Numantine War,numantia,rome;siege;iberia,yes,
v116,inrap,La cavalerie fantôme de Gondole - Éclats d'archéo #8 (Version LSF),youtube,https://www.youtube.com/watch?v=bVtDIpAT-fw,https://i.ytimg.com/vi/bVtDIpAT-fw/hqdefault.jpg,2026-07-03,-100,-50,Gallic Gaul,gondole,celts;burial;france,yes,Version LSF (langue des signes française) of the site film
v117,archeostoria,L'antico oppidum gallico di Bibracte.#history #vercingetorix #giuliocesare #france #archeology,youtube,https://www.youtube.com/watch?v=jCeDr-qcjwA,https://i.ytimg.com/vi/jCeDr-qcjwA/hqdefault.jpg,2026-02-02,-100,-25,Gallic oppidum,bibracte,celts;oppidum;gaul,yes,
v118,academia-play,"Grupos religiosos en tiempos de Jesús (saduceos, fariseos, esenios, zelotes, samaritanos...)",youtube,https://www.youtube.com/watch?v=6rDzfnsS1ek,https://i.ytimg.com/vi/6rDzfnsS1ek/hqdefault.jpg,2026-07-22,-100,100,Second Temple Judaea,jerusalem,religion;judaism;antiquity,yes,
v119,scholagladiatoria,Why did ROMANS wear SWORDS on the RIGHT SIDE?,youtube,https://www.youtube.com/watch?v=nEtv2x7Lam8,https://i.ytimg.com/vi/nEtv2x7Lam8/hqdefault.jpg,2026-07-20,-100,300,Roman Empire,rome,rome;military;material-culture,yes,
v120,toldinstone,Romans and the Ruins of Older Civilizations,youtube,https://www.youtube.com/watch?v=tXEslIbMoCI,https://i.ytimg.com/vi/tXEslIbMoCI/hqdefault.jpg,2026-06-22,-100,400,Roman Empire,,rome;antiquarianism;reception,yes,Survey video: no single place
v121,einfach-antike,Was sind Proskriptionen? – Stichwort Antike – Einfach Antike,youtube,https://www.youtube.com/watch?v=J59mo3QHRWk,https://i.ytimg.com/vi/J59mo3QHRWk/hqdefault.jpg,2026-08-09,-82,-43,Late Roman Republic,rome,rome;politics;proscriptions,yes,
v122,academia-play,"«Cleopatra no era egipcia, era griega». ¿Seguro?",reel,https://www.youtube.com/watch?v=cTtvIrHHEmg,https://i.ytimg.com/vi/cTtvIrHHEmg/hqdefault.jpg,2026-09-02,-69,-30,Ptolemaic Egypt,alexandria,hellenistic;egypt;cleopatra,yes,
v123,history-hit,Largest Iron Age Hoard EVER Found (900 Coins!),youtube,https://www.youtube.com/watch?v=xM1lzr2K2cY,https://i.ytimg.com/vi/xM1lzr2K2cY/hqdefault.jpg,2026-08-31,-50,50,Late Iron Age Britain,great-baddow,iron-age;hoard;britain,yes,"Site confirmed from the video description: Great Baddow, Essex"
