influencer_id,video_id,title,published,url,thumbnail
native-american-history,M5GnvdNtnI4,Choctaw Tribe History,2024-05-01,https://www.youtube.com/watch?v=M5GnvdNtnI4,https://i.ytimg.com/vi/M5GnvdNtnI4/hqdefault.jpg
nativlang,i0ajeoHsmu8,"Bird and cetacean grammar, and series conclusion – Can Animals Grammar? #8",2025-04-29,https://www.youtube.com/watch?v=i0ajeoHsmu8,https://i.ytimg.com/vi/i0ajeoHsmu8/hqdefault.jpg
nativlang,F4kXiGT6lPU,"Parts of speech English doesn't have, but these languages do!",2025-07-26,https://www.youtube.com/watch?v=F4kXiGT6lPU,https://i.ytimg.com/vi/F4kXiGT6lPU/hqdefault.jpg
nativlang,6AVtCDlq5M4,Folk Grammar: Theories of Language from the Inside,2025-08-30,https://www.youtube.com/watch?v=6AVtCDlq5M4,https://i.ytimg.com/vi/6AVtCDlq5M4/hqdefault.jpg
nativlang,LGIj8b1E2AQ,This language shifted from most common to rarest word order,2026-01-31,https://www.youtube.com/watch?v=LGIj8b1E2AQ,https://i.ytimg.com/vi/LGIj8b1E2AQ/hqdefault.jpg
nativlang,cVHhjvegXJw,Why colonizing Southern Africa didn't break its linguistic diversity; did it just add to it?,2026-02-27,https://www.youtube.com/watch?v=cVHhjvegXJw,https://i.ytimg.com/vi/cVHhjvegXJw/hqdefault.jpg
nativlang,NW99F9iSvEk,"Uppercases: Capital Letters Across the World Get Messy, and Not Just in Book Titles",2026-04-29,https://www.youtube.com/watch?v=NW99F9iSvEk,https://i.ytimg.com/vi/NW99F9iSvEk/hqdefault.jpg
nativlang,jRXFhN1K6ps,Proving Äiwoo is Oceanic was hard: why it took linguists decades to recognize a non-Papuan language,2026-05-29,https://www.youtube.com/watch?v=jRXFhN1K6ps,https://i.ytimg.com/vi/jRXFhN1K6ps/hqdefault.jpg
nativlang,26j0V2sc_nQ,Multilingual glyphs: an old way of writing two languages at the same time,2026-07-30,https://www.youtube.com/watch?v=26j0V2sc_nQ,https://i.ytimg.com/vi/26j0V2sc_nQ/hqdefault.jpg
nota-bene,qVAp4ELYTBs,Coup de bol pour les chauves #short,2026-08-31,https://www.youtube.com/watch?v=qVAp4ELYTBs,https://i.ytimg.com/vi/qVAp4ELYTBs/hqdefault.jpg
nota-bene,r9hbb0aFZ-E,3 guerres totalement absurdes… en apparence,2026-08-31,https://www.youtube.com/watch?v=r9hbb0aFZ-E,https://i.ytimg.com/vi/r9hbb0aFZ-E/hqdefault.jpg
nota-bene,LImXsKWW-5c,Soutien aux équipes d'Archeologia,2026-09-01,https://www.youtube.com/watch?v=LImXsKWW-5c,https://i.ytimg.com/vi/LImXsKWW-5c/hqdefault.jpg
nota-bene,-PvH_urJx5A,J'ai enquêté sur des vrais cas de vampires en Europe - feat The Blood of Dawnwalker,2026-09-03,https://www.youtube.com/watch?v=-PvH_urJx5A,https://i.ytimg.com/vi/-PvH_urJx5A/hqdefault.jpg
nota-bene,vDZO0gIDmYc,Le colonialisme vert #short,2026-09-04,https://www.youtube.com/watch?v=vDZO0gIDmYc,https://i.ytimg.com/vi/vDZO0gIDmYc/hqdefault.jpg
nota-bene,rDxzje9f4RY,Pourquoi les musées se font braquer ?,2026-09-05,https://www.youtube.com/watch?v=rDxzje9f4RY,https://i.ytimg.com/vi/rDxzje9f4RY/hqdefault.jpg
nota-bene,juZ-Fl8tdc0,La Nuit des Données à l'ENS #Shorts,2026-09-07,https://www.youtube.com/watch?v=juZ-Fl8tdc0,https://i.ytimg.com/vi/juZ-Fl8tdc0/hqdefault.jpg
nota-bene,iYef-Fir09w,Hitler et la Chine : le pacte secret qui a armé les nazis,2026-09-07,https://www.youtube.com/watch?v=iYef-Fir09w,https://i.ytimg.com/vi/iYef-Fir09w/hqdefault.jpg
passe-sauvage,4-SbmK2rQDo,Le Mana : comment voler tout le mana de votre ennemi 🪄,2025-11-23,https://www.youtube.com/watch?v=4-SbmK2rQDo,https://i.ytimg.com/vi/4-SbmK2rQDo/hqdefault.jpg
passe-sauvage,gbxyzHEmkUU,La première traversée de l'histoire il y a 1M d'années 🏄‍♀️ !!!,2025-11-30,https://www.youtube.com/watch?v=gbxyzHEmkUU,https://i.ytimg.com/vi/gbxyzHEmkUU/hqdefault.jpg
passe-sauvage,dM7eqV03kQ8,Nos Ancêtres couraient plus vite qu'Usain Bolt ?!,2025-12-18,https://www.youtube.com/watch?v=dM7eqV03kQ8,https://i.ytimg.com/vi/dM7eqV03kQ8/hqdefault.jpg
